Date,Time,Drink Type,Drink(g),Coffee(g),Country,Farm/Region,Variety,Roaster,Processing,Location,Coordinates,Brew Type,Grinder,Grind Size,Comments,Justin Score,Counter,Retail $/lb,FOB $/lb,SCA Score
2026-02-14,17:45,Black Coffee,400,25,Unknown,Unknown,Unknown,Unknown,Washed,Mood Up Istanbul Airport,"(41.2618610, 28.7424275)",Unknown,,,,6,1,,,
2026-02-15,09:16,Black Coffee,400,25,Kenya,"Stephen Nendela, Muinami Estate, Western Rift Valley",Batian,"Traffic, Montreal, Canada",Anaerobic Natural,Airbnb Istanbul,"(37.9149462, 23.8613810)",Aeropress,Fellow Ode,7,Via Bean Archives.,8.1,1,51.82,,
2026-02-15,11:44,Black Coffee,400,25,Unknown,Unknown,Unknown,"Nomad, Chalandri, Greece",Unknown,Nomad Chalandri,"(38.0207129, 23.7993402)",Siphon,Mahlkonig,,"So fun coming across a local roaster that brews with Siphons! A little over extracted with excess stirring, but oh well!",7.7,1,,,
2026-02-15,03:30,Flat White,40,18,Unknown,Unknown,Unknown,Unknown,Washed,Greek Gas Station,"(38.4883129, 23.1574450)",Espresso,Unknown,,,6.8,1,,,
2026-02-17,08:30,Black Coffee,400,25,Colombia,"Villa Alba, Tolima",Caturra,"Nomad, Chalandri, Greece",Natural,Airbnb Diava Greece,"(39.6916080, 21.5809605)",,Timemore Chestnut,15,,7.2,1,,,
2026-02-17,08:30,Black Coffee,400,25,Colombia,"Julio Madrid, Finca Milan, Pereira",Caturra,"MAME, Zurich, Switzerland",Washed Co-Ferment,Airbnb Diava Greece,"(39.6916080, 21.5809605)",Aeropress,Timemore Chestnut,15,Via Bean Archives,8.1,1,51.82,,
2026-02-17,08:00,Black Coffee,400,25,Colombia,"Jorge Elias Rojas, El Jardin, Planadas, Tolima",Red Bourbon,"Color, Eagle, CO",Honey,Airbnb Diava Greece,"(39.6916080, 21.5809605)",Aeropress,Timemore Chestnut,15,"Via Bean Archives. Beautiful smell, and the coffee seems pretty clean, but it's just that overly deep molasses flavor that I don't love in coffee.",7.7,1,51.82,,
2026-02-18,09:00,Black Coffee,320,20,Colombia,"Jorge Mira and Jonny Martinez, El Jaragual, Amalfi, Antioquia",Rosado,"Scenery, London, UK",Washed Thermal Shock Yeast Inoculated,Airbnb Ohrid,"(41.0859906, 20.8272098)",Bialetti,Timemore Chestnut,15,Via Bean Archives. Very sweet grassy green apple flavor. Delicious!,8.4,1,51.82,,
2026-02-18,09:10,Black Coffee,240,15,Colombia,"Jorge Mira and Jonny Martinez, El Jaragual, Amalfi, Antioquia",Rosado,"Scenery, London, UK",Washed Thermal Shock Yeast Inoculated,Airbnb Ohrid,"(41.0859906, 20.8272098)",Aeropress,Timemore Chestnut,15,Via Bean Archives. Very sweet grassy green apple flavor. Delicious!,8.4,1,51.82,,
2026-02-18,11:45,Latte,40,18,Unknown,Unknown,Unknown,Unknown,Washed,Steve's Coffee House Ohrid,"(41.1095393, 20.8052560)",Espresso: Nuova Simonelli,Fiorenzato,,,5.5,1,,,
2026-02-19,07:31,Black Coffee,400,25,Colombia,"Diero Garcia, Finca Lord Voldemort, Pitalito, Huila",Gesha,"Moonwake, San Jose, CA",Washed Lemongrass Coplot,Airbnb Ohrid,"(41.0859906, 20.8272098)",Aeropress,Timemore Chestnut,15,Via Bean Archives,8.3,1,51.82,,
2026-02-19,17:00,Cappuccino,40,18,Unknown,Unknown,Unknown,Unknown,Washed,Nadali Cafe,"(38.9436976, 21.1764918)",Espresso,,,,7.2,1,,,
2026-02-20,10:40,Black Coffee,400,25,Colombia,"Mauricio Shattah and Liliana Montpya, Finca La Negrita, Nevado de Tolima, Tolima",Wush Wush,"BlendIn, Houston, TX",Double Staggered Anaerobic Natural Nitrogen Flushed,Airbnb Corinth,"(37.9038474, 23.0109685)",Aeropress,Timemore Chestnut,15,Way to anaerobic and booze for meâ€¦,7.3,1,190.9,,
2026-02-21,08:30,Black Coffee,400,25,Colombia,"Julio Madrid, Finca Milan, Pereira",Caturra,"MAME, Zurich, Switzerland",Washed Co-Ferment,Airbnb Corinth,"(37.9038474, 23.0109685)",Aeropress,Timemore Chestnut,15,Via Bean Archives. Just super boozy and anaerobic. Not great to me.,7.3,1,51.82,,
2026-02-21,11:45,Cappuccino,40,18,Unknown,Unknown,Unknown,Unknown,Washed,Aegina Cafe Poseidonio,"(37.7463806, 23.4272179)",Espresso,,,,7.2,1,,,
2026-02-22,09:00,Cappuccino,40,18,Unknown,Unknown,Unknown,Unknown,Washed,Athens Airport,"(37.9355442, 23.9475423)",Espresso,,,,7,1,,,
